2324,216,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,34,Carry Over Blocks
2325,147,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,69.5,Carry Over Blocks
2326,761,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,13.5,Carry Over Blocks
2327,47,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,23.4,Carry Over Blocks
2328,184,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,20,Carry Over Blocks
2329,98,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,35.5,Carry Over Blocks
2330,100,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,146.5,Carry Over Blocks
2331,3810,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,13.5,Carry Over Blocks
2332,255,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,25,Carry Over Blocks
2333,102,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,56,Carry Over Blocks
2334,3798,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,13,Carry Over Blocks
2335,3816,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,11,Carry Over Blocks
2336,3818,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,17,Carry Over Blocks
2337,155,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,20,Carry Over Blocks
2338,190,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,27,Carry Over Blocks
2339,257,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,80,Carry Over Blocks
2340,114,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,25.12,Carry Over Blocks
2341,261,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,30,Carry Over Blocks
2342,262,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,18,Carry Over Blocks
2343,160,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,12.5,Carry Over Blocks
2344,755,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,35.5,Carry Over Blocks
2345,120,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,47.5,Carry Over Blocks
2346,232,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,11,Carry Over Blocks
2347,161,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,110.5,Carry Over Blocks
2348,915,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,10.5,Carry Over Blocks
2349,301,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,10.38,Carry Over Blocks
2350,265,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,253.52,Carry Over Blocks
2351,163,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,222.46,Carry Over Blocks
2352,203,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,18,Carry Over Blocks
2353,921,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,185.3,Carry Over Blocks
2354,133,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,307.61,Carry Over Blocks
2355,307,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,13,Carry Over Blocks
2356,243,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,53,Carry Over Blocks
2357,3828,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,67.5,Carry Over Blocks
2358,1437,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,26.96,Carry Over Blocks
2359,315,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,23,Carry Over Blocks
2360,286,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,12.5,Carry Over Blocks
2361,3831,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,65,Carry Over Blocks
2362,322,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,17.5,Carry Over Blocks
2363,3802,Credit,Carry Over Credit from 2011-2012 Academic year,2012-09-01,17.5,Carry Over Blocks
2364,219,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,21,Carry Over Blocks
2365,321,Charge,Carry Over Balance Due from 2011-2012 Academic year,2012-09-01,36.5,Carry Over Blocks
